negative_lm,positive_lm,negative_swn,positive_swn,Date,Price,lm_prediction,swn_prediction,actual
0.0,0.0,0.0,0.0,2001,363.942322,SELL,SELL,SELL
0.0,0.0,0.0,0.0,2003,197.307693,SELL,SELL,BUY
0.6670025917932565,0.8545669649802279,1.0,1.0,2004,244.615387,BUY,SELL,BUY
0.6852332395062884,0.8251716272167844,0.510583792005172,0.0,2005,276.923065,BUY,SELL,SELL
0.6298260531176887,0.9467328451695967,0.510583792005172,0.0,2006,272.846161,BUY,SELL,BUY
0.3643613365560113,0.2906948668733571,0.4793302860993742,0.0,2007,288.923065,SELL,SELL,SELL
0.46694074550565406,0.39134409351129995,0.801119457046961,1.0000000000000002,2008,270.538452,SELL,BUY,SELL
0.14299271064414915,0.10487185642405833,0.0,0.859744535788806,2009,123.07692,SELL,BUY,BUY
0.9380255401051798,0.9500653207346895,0.0,0.8154351990206706,2010,127.692307,BUY,BUY,BUY
0.9799007178947716,0.9962377196089739,0.9844804880742185,0.9573439417963661,2011,141.769226,BUY,SELL,BUY
0.9940528545644602,0.9957499181794008,0.9830106185755126,0.967942212194908,2012,143.461533,BUY,SELL,BUY
0.9877370330418856,0.9970807966317073,0.9954204223503086,0.9981764441255361,2013,162.538467,BUY,BUY,BUY
0.9951893747105688,0.9939462506641172,0.9920750214715007,1.0000000000000002,2014,207.384613,SELL,BUY,SELL
0.010187674101013934,0.0,0.0,0.0,2015,184.846161,SELL,SELL,BUY
0.0,0.0,0.0,0.0,2016,218.846161,SELL,SELL,BUY
0.0,0.0,0.0,0.0,2017,243.153839,SELL,SELL,SELL
0.0,0.0,0.0,0.0,2018,142.615387,SELL,SELL,SELL
0.0,0.0,0.0,0.0,2019,68.769234,SELL,SELL,BUY
0.0,0.0,0.0,0.0,2020,93.360001,SELL,SELL,SELL
1.0,1.0,0.0,0.0,2021,90.720001,SELL,SELL,TBD
